Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,-0.00204467,-0.0029839,-0.000939235,0.00290325,-0.000638222,-0.00226502
0.005,-0.00174046,-0.00242777,-0.000687304,0.00240653,-0.000608041,-0.00179849
0.01,0.000390392,-0.000716241,-0.00110663,0.000188129,0.000864307,-0.00105244
0.015,0.00390022,0.00159185,-0.00230837,-0.00317085,0.00358453,-0.000413681
0.02,0.00893564,0.00296935,-0.0059663,-0.00687335,0.00860363,-0.00173029
0.025,0.0144056,0.00285568,-0.0115499,-0.00996578,0.0149854,-0.0050196
0.03,0.0176628,0.001891,-0.0157718,-0.0112894,0.0193035,-0.0080141
0.035,0.0177474,0.00120069,-0.0165467,-0.0109397,0.0197998,-0.00886005
0.04,0.0159594,0.00172335,-0.014236,-0.0102091,0.0174333,-0.00722418
0.045,0.0152359,0.00259601,-0.0126399,-0.0102953,0.0160941,-0.00579886
0.05,0.0182191,0.0022997,-0.0159194,-0.0118466,0.0197099,-0.00786335
0.055,0.0215104,0.000711453,-0.020799,-0.0128298,0.0244273,-0.0115975
0.06,0.0188654,-0.00191749,-0.0207829,-0.00978486,0.0228909,-0.0131061
0.065,0.0102244,-0.00503285,-0.0152572,-0.00299732,0.0147118,-0.0117145
0.07,0.000491622,-0.00780916,-0.00830078,0.00422478,0.00507629,-0.00930107
0.075,-0.00598677,-0.00984686,-0.00386009,0.00914155,-0.00122784,-0.00791371
0.08,-0.00779156,-0.0119698,-0.00417819,0.0114092,-0.00208618,-0.00932302
0.085,-0.00547889,-0.014653,-0.00917408,0.0116231,0.00213342,-0.0137565
0.09,-0.00172641,-0.017326,-0.0155996,0.0109999,0.0080097,-0.0190096
0.095,6.32E-05,-0.0198077,-0.0198708,0.0113995,0.0115089,-0.0229084
0.1,-0.000293811,-0.0220807,-0.0217869,0.0129179,0.012409,-0.025327
0.105,-0.00048682,-0.0245369,-0.02405,0.0144474,0.0136042,-0.0280516
0.11,0.000659327,-0.0274079,-0.0280672,0.0154433,0.0165853,-0.0320286
0.115,0.0024704,-0.0302469,-0.0327173,0.0160368,0.0203156,-0.0363524
0.12,0.00502512,-0.0317812,-0.0368063,0.0154476,0.0241514,-0.039599
0.125,0.00822453,-0.0316382,-0.0398627,0.0135179,0.0277632,-0.0412811
0.13,0.0121631,-0.0308625,-0.0430257,0.0107961,0.0318633,-0.0426594
0.135,0.0161758,-0.0308096,-0.0469855,0.00844882,0.0364662,-0.044915
0.14,0.0184897,-0.0314652,-0.0499548,0.0074914,0.0395164,-0.0470078
