Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0.34,-0.149386,0.0310351,0.180422,0.0683302,-0.190415,0.122085
0.345,-0.14748,0.0276049,0.175085,0.0692101,-0.186233,0.117023
0.35,-0.14822,0.0245952,0.172815,0.0713746,-0.185349,0.113975
0.355,-0.149926,0.0217834,0.17171,0.0739833,-0.185696,0.111713
0.36,-0.150778,0.0182174,0.168995,0.0765336,-0.184621,0.108087
0.365,-0.150883,0.0138096,0.164692,0.0791391,-0.182197,0.103058
0.37,-0.151367,0.0102111,0.161578,0.0814965,-0.180679,0.0991826
0.375,-0.152009,0.00886325,0.160872,0.082645,-0.180642,0.0979966
0.38,-0.15014,0.00881705,0.158957,0.081593,-0.178458,0.0968646
0.385,-0.144038,0.00863242,0.15267,0.0781764,-0.171305,0.0931282
0.39,-0.137082,0.00838531,0.145467,0.0743029,-0.16313,0.0888267
0.395,-0.135352,0.00883239,0.144184,0.073046,-0.16139,0.0883441
0.4,-0.14044,0.00942978,0.14987,0.075639,-0.167611,0.0919719
0.405,-0.147481,0.00976449,0.157245,0.0795106,-0.175934,0.0964232
0.41,-0.15098,0.0101184,0.161099,0.0813266,-0.180179,0.0988521
0.415,-0.14955,0.0107593,0.160309,0.0801307,-0.178897,0.0987663
0.42,-0.145698,0.0111624,0.15686,0.0776739,-0.174682,0.0970078
0.425,-0.143147,0.0109551,0.154102,0.0763207,-0.171616,0.0952956
0.43,-0.143385,0.0103401,0.153725,0.0768133,-0.171536,0.0947228
0.435,-0.145516,0.0111973,0.156713,0.0775487,-0.174492,0.096943
0.44,-0.148775,0.0147513,0.163526,0.0773784,-0.180307,0.102928
0.445,-0.152658,0.020843,0.173501,0.0761034,-0.188308,0.112204
0.45,-0.155812,0.0287316,0.184543,0.0733698,-0.196504,0.123134
0.455,-0.157661,0.0382246,0.195886,0.0689567,-0.20412,0.135164
0.46,-0.158114,0.0500492,0.208163,0.0623912,-0.21147,0.149079
0.465,-0.15607,0.0635843,0.219654,0.0533966,-0.216924,0.163528
0.47,-0.151766,0.0772133,0.22898,0.0430432,-0.219824,0.176781
0.475,-0.147012,0.0913198,0.238332,0.032154,-0.222479,0.190325
0.48,-0.142479,0.108245,0.250723,0.019765,-0.227015,0.20725
0.485,-0.138104,0.129048,0.267152,0.00522875,-0.233975,0.228746
0.49,-0.135961,0.151351,0.287313,-0.00888536,-0.244377,0.253263
0.495,-0.138174,0.170761,0.308935,-0.0188143,-0.258138,0.276953
0.5,-0.14372,0.184033,0.327753,-0.0232743,-0.272205,0.295479
0.505,-0.150005,0.189668,0.339673,-0.0228995,-0.282716,0.305615
0.51,-0.153317,0.184967,0.338283,-0.0182733,-0.283825,0.302099
0.515,-0.150339,0.168509,0.318847,-0.0104906,-0.270885,0.281375
0.52,-0.142839,0.142925,0.285764,-4.95E-05,-0.247454,0.247504
0.525,-0.136762,0.112561,0.249323,0.0139721,-0.222906,0.208934
0.53,-0.136092,0.0815466,0.217638,0.0314915,-0.204226,0.172734
0.535,-0.140592,0.0528703,0.193462,0.0506461,-0.192866,0.14222
0.54,-0.14796,0.0281883,0.176148,0.0691501,-0.187124,0.117974
0.545,-0.155575,0.00781631,0.163391,0.0853083,-0.184155,0.0988466
0.55,-0.161211,-0.00837116,0.15284,0.0979085,-0.181318,0.0834092
0.555,-0.164232,-0.0198713,0.144361,0.106292,-0.178166,0.0718738
0.56,-0.163866,-0.0273622,0.136504,0.110405,-0.173418,0.0630128
0.565,-0.15933,-0.0334539,0.125876,0.111304,-0.164663,0.0533598
0.57,-0.150515,-0.0402831,0.110232,0.110157,-0.150543,0.0403851
0.575,-0.136797,-0.0432784,0.0935187,0.103967,-0.132973,0.0290063
0.58,-0.116881,-0.0282116,0.0886689,0.0837689,-0.118674,0.034905
0.585,-0.0916798,0.0257451,0.117425,0.0380674,-0.120727,0.0826592
0.59,-0.0698491,0.140049,0.209898,-0.0405297,-0.161512,0.202042
0.595,-0.064472,0.329808,0.39428,-0.153192,-0.264861,0.418052
0.6,-0.0859437,0.587748,0.673691,-0.289716,-0.438575,0.728292
0.605,-0.138189,0.862775,1.00096,-0.418339,-0.65769,1.07603
0.61,-0.213876,1.06396,1.27783,-0.490795,-0.861239,1.35203
0.615,-0.295891,1.10909,1.40498,-0.469499,-0.981997,1.4515
0.62,-0.364107,0.987387,1.35149,-0.359851,-0.990502,1.35035
0.625,-0.403096,0.762876,1.16597,-0.207719,-0.905901,1.11362
0.63,-0.407903,0.520089,0.927992,-0.0647706,-0.771279,0.836049
0.635,-0.382983,0.316912,0.699895,0.0381457,-0.625199,0.587054
0.64,-0.338621,0.174419,0.51304,0.0948022,-0.491707,0.396905
0.645,-0.286384,0.0871283,0.373513,0.11504,-0.380992,0.265951
0.65,-0.235704,0.0376988,0.273403,0.114318,-0.293933,0.179615
0.655,-0.193849,0.00991306,0.203762,0.106196,-0.229561,0.123366
0.66,-0.163678,-0.0068994,0.156778,0.0984826,-0.185015,0.0865325
0.665,-0.141721,-0.0184367,0.123284,0.092467,-0.153001,0.0605336
0.67,-0.125526,-0.0271054,0.0984208,0.0881219,-0.129296,0.0411739
0.675,-0.117865,-0.0325001,0.0853647,0.0868131,-0.117334,0.0305214
0.68,-0.1205,-0.0348306,0.0856697,0.0896802,-0.119032,0.029352
0.685,-0.130389,-0.0352938,0.0950947,0.0956567,-0.130183,0.0345261
0.69,-0.141615,-0.0347509,0.106864,0.101825,-0.14346,0.0416347
0.695,-0.148755,-0.0338419,0.114913,0.105422,-0.152229,0.0468064
0.7,-0.149479,-0.0325331,0.116946,0.105085,-0.15382,0.0487356
0.705,-0.144564,-0.0304546,0.114109,0.101047,-0.149345,0.0482979
0.71,-0.135712,-0.0279704,0.107742,0.0945023,-0.140559,0.0460562
0.715,-0.123404,-0.0259157,0.0974883,0.0862098,-0.127532,0.0413224
0.72,-0.10781,-0.0250329,0.082777,0.0766968,-0.110035,0.0333386
