Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,-0.0942385,-0.00868842,0.0855501,0.0594249,-0.103801,0.0443761
0.005,-0.0806945,-0.0169371,0.0637574,0.0563676,-0.0833993,0.0270317
0.01,-0.0683551,-0.0223488,0.0460063,0.0523679,-0.0660266,0.0136587
0.015,-0.0618525,-0.024295,0.0375575,0.0497373,-0.0573944,0.00765706
0.02,-0.0635092,-0.0230131,0.0404961,0.0499536,-0.0600475,0.0100938
0.025,-0.0711089,-0.0206315,0.0504775,0.0529663,-0.0701979,0.0172316
0.03,-0.0786263,-0.0190538,0.0595725,0.0563956,-0.0797891,0.0233935
0.035,-0.0795429,-0.0180645,0.0614783,0.0563536,-0.0814186,0.025065
0.04,-0.0728691,-0.0167256,0.0561435,0.0517275,-0.0744854,0.0227579
0.045,-0.0633616,-0.0148383,0.0485233,0.0451487,-0.0645967,0.0194481
0.05,-0.056075,-0.0123732,0.0437018,0.0395186,-0.0576061,0.0180876
0.055,-0.0524482,-0.0104885,0.0419597,0.0363365,-0.0545064,0.0181699
0.06,-0.0522031,-0.00900294,0.0432001,0.0353373,-0.055081,0.0197437
0.065,-0.0542887,-0.00573116,0.0485576,0.0346525,-0.0593783,0.0247258
0.07,-0.0558021,0.000234141,0.0560363,0.0320822,-0.0645699,0.0324877
0.075,-0.0539437,0.00747552,0.0614192,0.0268284,-0.0666048,0.0397764
0.08,-0.0497108,0.0135235,0.0632343,0.0208927,-0.0652089,0.0443161
0.085,-0.0459466,0.0180982,0.0640448,0.0160783,-0.0635035,0.0474252
0.09,-0.0419641,0.0230242,0.0649884,0.010935,-0.061749,0.0508141
0.095,-0.0362982,0.0292675,0.0655657,0.00405918,-0.0588111,0.054752
0.1,-0.0296248,0.036377,0.0660019,-0.00389836,-0.0552101,0.0591084
0.105,-0.0217892,0.0436608,0.06545,-0.0126276,-0.0503676,0.0629952
0.11,-0.0127289,0.0497822,0.062511,-0.0213927,-0.0434398,0.0648325
0.115,-0.00489302,0.054235,0.059128,-0.0284876,-0.0369626,0.0654502
0.12,0.000376345,0.0584441,0.0580677,-0.03396,-0.0333081,0.0672681
0.125,0.00438639,0.0625072,0.0581209,-0.038621,-0.0310236,0.0696446
0.13,0.0105184,0.0657529,0.0552345,-0.0440353,-0.0258168,0.0698521
0.135,0.021588,0.0666734,0.0450854,-0.0509577,-0.0135662,0.064524
0.14,0.0346344,0.0638176,0.0291832,-0.0568413,0.00314726,0.053694
0.145,0.0433587,0.0586312,0.0152725,-0.0588839,0.0162155,0.0426683
0.15,0.0452854,0.0543242,0.00903871,-0.0575096,0.020927,0.0365825
0.155,0.0428515,0.0529021,0.0100506,-0.0552833,0.0189376,0.0363457
0.16,0.0401327,0.0538408,0.0137081,-0.0542556,0.0152562,0.0389994
0.165,0.0388453,0.0558631,0.0170178,-0.0546799,0.0126021,0.0420778
0.17,0.0383961,0.0576078,0.0192118,-0.0554279,0.0110761,0.0443518
0.175,0.0365286,0.0581268,0.0215982,-0.0546493,0.00862006,0.0460292
0.18,0.0311683,0.0583505,0.0271822,-0.0516837,0.00230136,0.0493823
0.185,0.0220578,0.0600186,0.0379608,-0.0473868,-0.00918161,0.0565684
0.19,0.0103589,0.0632131,0.0528541,-0.0424768,-0.0245346,0.0670114
0.195,-0.00200046,0.066623,0.0686235,-0.0373098,-0.0407747,0.0780845
0.2,-0.0139551,0.0690516,0.0830067,-0.03181,-0.0559809,0.0877909
0.205,-0.0250805,0.0683907,0.0934712,-0.0250052,-0.0684458,0.093451
0.21,-0.0348369,0.0640287,0.0988656,-0.0168539,-0.0771931,0.094047
0.215,-0.0445043,0.0565246,0.101029,-0.0069399,-0.0840236,0.0909635
0.22,-0.0562904,0.0466782,0.102969,0.00554964,-0.0919482,0.0863985
0.225,-0.0683234,0.0361352,0.104459,0.0185839,-0.0997557,0.0811719
0.23,-0.0775467,0.026023,0.10357,0.0297472,-0.104568,0.0748203
0.235,-0.0837166,0.0173153,0.101032,0.0383368,-0.106665,0.0683278
0.24,-0.0882344,0.0101305,0.0983649,0.0450933,-0.107733,0.0626398
0.245,-0.0926611,0.00385543,0.0965165,0.051272,-0.109222,0.0579498
0.25,-0.0974663,-0.00193985,0.0955264,0.0573921,-0.111424,0.0540322
0.255,-0.0996695,-0.00711053,0.092559,0.0616494,-0.110983,0.0493336
0.26,-0.0959782,-0.0107011,0.0852771,0.0615912,-0.104648,0.0430565
0.265,-0.0902196,-0.0122532,0.0779664,0.0591626,-0.0971022,0.0379395
0.27,-0.0892871,-0.0128511,0.076436,0.0589695,-0.0956803,0.0367108
0.275,-0.0950513,-0.0122945,0.0827568,0.0619761,-0.102658,0.0406814
0.28,-0.103867,-0.00954019,0.0943272,0.0654759,-0.114428,0.0489518
0.285,-0.111041,-0.00483921,0.106202,0.0669035,-0.125425,0.0585217
0.29,-0.113475,0.000417829,0.113892,0.0652733,-0.13127,0.065997
0.295,-0.11271,0.00514828,0.117859,0.0621009,-0.133119,0.071018
0.3,-0.112761,0.00992481,0.122686,0.0593726,-0.135936,0.0765629
0.305,-0.114921,0.015558,0.130479,0.0573671,-0.141681,0.0843144
0.31,-0.117886,0.0205936,0.13848,0.0561717,-0.148013,0.0918409
0.315,-0.11829,0.0235499,0.14184,0.0546981,-0.150186,0.0954878
0.32,-0.112287,0.0243811,0.136668,0.0507523,-0.143734,0.0929817
0.325,-0.102958,0.0236782,0.126637,0.0457724,-0.132557,0.0867842
0.33,-0.0971619,0.0225238,0.119686,0.0430923,-0.125197,0.0821046
0.335,-0.0957404,0.0216437,0.117384,0.0427797,-0.123047,0.0802677
0.34,-0.096038,0.0214192,0.117457,0.0430812,-0.123261,0.0801803
0.345,-0.0968258,0.0231124,0.119938,0.0425584,-0.125149,0.0825903
0.35,-0.0984989,0.026436,0.124935,0.0416055,-0.128999,0.0873939
0.355,-0.101421,0.028946,0.130367,0.0418433,-0.133823,0.0919793
0.36,-0.103646,0.0287626,0.132409,0.0432339,-0.136286,0.0930522
0.365,-0.102789,0.026177,0.128966,0.0442322,-0.133804,0.0895721
0.37,-0.100073,0.0215878,0.12166,0.0453132,-0.128017,0.0827043
0.375,-0.0979419,0.0154064,0.113348,0.0476518,-0.121988,0.0743366
0.38,-0.0986619,0.00946676,0.108129,0.0514968,-0.119391,0.0678937
0.385,-0.104032,0.00564632,0.109679,0.0568032,-0.123386,0.0665829
0.39,-0.111999,0.00490673,0.116905,0.0618295,-0.132158,0.0703283
0.395,-0.118076,0.00597903,0.124055,0.0647192,-0.139794,0.0750752
0.4,-0.119211,0.00618732,0.125398,0.065254,-0.141225,0.0759708
