Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0.37,-0.254897,0.266443,0.52134,-0.0066657,-0.44816,0.454826
0.375,-0.254123,0.26694,0.521062,-0.00739993,-0.447553,0.454953
0.38,-0.25365,0.267178,0.520828,-0.0078102,-0.447145,0.454955
0.385,-0.253222,0.270391,0.523613,-0.00991233,-0.448506,0.458418
0.39,-0.252663,0.276116,0.528779,-0.013541,-0.451165,0.464706
0.395,-0.251803,0.282123,0.533926,-0.0175056,-0.45364,0.471146
0.4,-0.250433,0.287661,0.538094,-0.0214936,-0.455256,0.476749
0.405,-0.248653,0.29277,0.541422,-0.0254711,-0.45615,0.481621
0.41,-0.246689,0.297001,0.54369,-0.0290474,-0.456326,0.485373
0.415,-0.244852,0.299765,0.544617,-0.031704,-0.4558,0.487504
0.42,-0.243509,0.300496,0.544004,-0.0329015,-0.454671,0.487572
0.425,-0.24281,0.299635,0.542445,-0.0328078,-0.453367,0.486175
0.43,-0.242569,0.29956,0.542129,-0.0329041,-0.453045,0.485949
0.435,-0.242602,0.300977,0.543579,-0.0337027,-0.453902,0.487604
0.44,-0.242614,0.303163,0.545777,-0.0349584,-0.455178,0.490136
0.445,-0.24229,0.305035,0.547326,-0.0362258,-0.455885,0.492111
0.45,-0.241724,0.305295,0.54702,-0.0367026,-0.455381,0.492084
0.455,-0.241309,0.303402,0.544711,-0.0358497,-0.453808,0.489658
0.46,-0.24128,0.299868,0.541147,-0.0338257,-0.451734,0.48556
0.465,-0.241751,0.296254,0.538004,-0.0314672,-0.450192,0.481659
0.47,-0.242687,0.293849,0.536536,-0.0295383,-0.449885,0.479423
0.475,-0.243759,0.292981,0.536739,-0.0284183,-0.45062,0.479039
0.48,-0.24459,0.29286,0.53745,-0.027869,-0.45151,0.479379
0.485,-0.24532,0.291777,0.537097,-0.0268224,-0.451728,0.478551
0.49,-0.246218,0.289368,0.535586,-0.0249125,-0.451374,0.476287
0.495,-0.247332,0.286328,0.53366,-0.0225141,-0.450906,0.47342
0.5,-0.248277,0.284104,0.532381,-0.0206846,-0.450713,0.471397
0.505,-0.248709,0.283593,0.532302,-0.0201405,-0.450917,0.471057
0.51,-0.248897,0.283474,0.532372,-0.0199631,-0.451066,0.471029
0.515,-0.249307,0.282094,0.531401,-0.0189297,-0.450742,0.469672
0.52,-0.249873,0.279785,0.529659,-0.0172697,-0.450063,0.467333
0.525,-0.250594,0.276794,0.527388,-0.015127,-0.449168,0.464295
0.53,-0.251614,0.273333,0.524947,-0.01254,-0.448347,0.460887
0.535,-0.253075,0.270379,0.523454,-0.00999021,-0.448329,0.45832
0.54,-0.25469,0.269418,0.524108,-0.00850282,-0.449639,0.458142
0.545,-0.256088,0.270702,0.52679,-0.00843766,-0.451994,0.460432
0.55,-0.257242,0.272393,0.529635,-0.00874712,-0.454304,0.463051
0.555,-0.258326,0.272879,0.531205,-0.00840191,-0.455836,0.464238
0.56,-0.259013,0.273119,0.532132,-0.00814433,-0.456768,0.464912
0.565,-0.259038,0.274289,0.533328,-0.00880514,-0.457473,0.466278
0.57,-0.258593,0.275422,0.534015,-0.00971594,-0.457612,0.467328
0.575,-0.257894,0.275187,0.533081,-0.00998424,-0.456669,0.466653
0.58,-0.257096,0.273874,0.53097,-0.00968683,-0.45499,0.464677
0.585,-0.256018,0.272269,0.528287,-0.00938238,-0.452819,0.462201
0.59,-0.254734,0.27045,0.525184,-0.00907376,-0.450285,0.459359
0.595,-0.253708,0.268493,0.522201,-0.00853615,-0.447971,0.456507
0.6,-0.253147,0.266706,0.519853,-0.0078278,-0.446292,0.454119
0.605,-0.252785,0.265276,0.518061,-0.00721172,-0.445048,0.452259
0.61,-0.252469,0.263821,0.516291,-0.00655399,-0.443844,0.450398
0.615,-0.252243,0.26205,0.514293,-0.00566177,-0.442559,0.448221
0.62,-0.251835,0.260092,0.511927,-0.00476756,-0.440958,0.445726
0.625,-0.251169,0.258588,0.509757,-0.00428346,-0.439321,0.443604
0.63,-0.250637,0.258176,0.508813,-0.00435244,-0.438469,0.442821
0.635,-0.250637,0.258514,0.50915,-0.00454787,-0.438663,0.443211
0.64,-0.251198,0.258861,0.510059,-0.00442408,-0.439512,0.443936
0.645,-0.252041,0.258884,0.510925,-0.003951,-0.440499,0.44445
0.65,-0.25269,0.259,0.511689,-0.00364297,-0.441314,0.444957
0.655,-0.252777,0.260089,0.512867,-0.00422165,-0.442045,0.446266
0.66,-0.252281,0.262249,0.514531,-0.00575505,-0.442719,0.448474
0.665,-0.251554,0.264608,0.516162,-0.00753708,-0.443241,0.450778
0.67,-0.2509,0.266723,0.517622,-0.0091355,-0.443706,0.452842
0.675,-0.250391,0.268494,0.518885,-0.0104517,-0.444141,0.454593
0.68,-0.24983,0.270325,0.520155,-0.011833,-0.444551,0.456384
0.685,-0.248994,0.272893,0.521887,-0.0137985,-0.445068,0.458866
0.69,-0.248319,0.27703,0.52535,-0.0165762,-0.446678,0.463254
0.695,-0.248493,0.284111,0.532604,-0.020564,-0.450967,0.47153
0.7,-0.249649,0.295504,0.545153,-0.0264747,-0.458879,0.485354
0.705,-0.251232,0.310752,0.561984,-0.0343637,-0.469511,0.503874
0.71,-0.252796,0.327138,0.579935,-0.0429215,-0.480777,0.523699
0.715,-0.254042,0.343254,0.597296,-0.0515068,-0.49152,0.543026
0.72,-0.253858,0.359467,0.613326,-0.0609732,-0.500669,0.561642
0.725,-0.25156,0.376152,0.627712,-0.0719331,-0.507648,0.579581
0.73,-0.248472,0.392938,0.64141,-0.0834074,-0.513773,0.597181
0.735,-0.246358,0.408796,0.655154,-0.0937836,-0.520488,0.614272
0.74,-0.245361,0.422934,0.668295,-0.102522,-0.527499,0.630021
0.745,-0.244184,0.435,0.679184,-0.110167,-0.533106,0.643274
0.75,-0.241863,0.442483,0.684345,-0.115828,-0.534746,0.650574
0.755,-0.238743,0.441373,0.680115,-0.116988,-0.530503,0.647491
0.76,-0.23575,0.429529,0.665278,-0.111878,-0.520208,0.632087
0.765,-0.23411,0.408328,0.642438,-0.100585,-0.506075,0.606659
0.77,-0.234852,0.38193,0.616782,-0.0849151,-0.491691,0.576606
0.775,-0.237963,0.354544,0.592507,-0.0673082,-0.479471,0.54678
0.78,-0.242755,0.328815,0.57157,-0.0496864,-0.470151,0.519837
0.785,-0.247925,0.307593,0.555517,-0.0344493,-0.463867,0.498316
0.79,-0.252126,0.291799,0.543925,-0.0229051,-0.4596,0.482505
0.795,-0.254858,0.280076,0.534934,-0.0145593,-0.455987,0.470546
0.8,-0.256411,0.271491,0.527902,-0.0087066,-0.452823,0.461529
0.805,-0.257001,0.266137,0.523139,-0.0052747,-0.450414,0.455689
0.81,-0.256892,0.263209,0.520101,-0.00364706,-0.448597,0.452244
0.815,-0.256054,0.260264,0.516319,-0.00243068,-0.44593,0.44836
0.82,-0.252636,0.25722,0.509856,-0.00264627,-0.440225,0.442871
0.825,-0.243354,0.260318,0.503672,-0.00979445,-0.431295,0.44109
0.83,-0.224452,0.279662,0.504114,-0.0318757,-0.420638,0.452514
0.835,-0.196009,0.327288,0.523297,-0.0757937,-0.415291,0.491085
0.84,-0.166815,0.418414,0.585229,-0.145261,-0.434192,0.579453
0.845,-0.150893,0.566393,0.717285,-0.239889,-0.501242,0.741132
0.85,-0.1579,0.771963,0.929863,-0.354529,-0.62802,0.982549
0.855,-0.191311,1.00307,1.19438,-0.468669,-0.80003,1.2687
0.86,-0.248595,1.18853,1.43712,-0.54267,-0.973249,1.51592
0.865,-0.3204,1.25678,1.57718,-0.540618,-1.09557,1.63619
0.87,-0.392366,1.18607,1.57844,-0.458246,-1.13784,1.59609
0.875,-0.447689,1.01825,1.46594,-0.329413,-1.10483,1.43425
0.88,-0.473184,0.823431,1.29662,-0.202215,-1.02179,1.22401
0.885,-0.465232,0.653653,1.11889,-0.108785,-0.914591,1.02338
0.89,-0.431225,0.527097,0.958322,-0.0553514,-0.802255,0.857606
0.895,-0.384088,0.441177,0.825264,-0.0329604,-0.698219,0.73118
0.9,-0.335759,0.387041,0.7228,-0.0296074,-0.611159,0.640767
0.905,-0.294459,0.354317,0.648775,-0.034559,-0.544576,0.579135
0.91,-0.264184,0.334192,0.598376,-0.040419,-0.497999,0.538418
0.915,-0.244783,0.320926,0.565708,-0.0439611,-0.467937,0.511898
0.92,-0.233649,0.31049,0.544139,-0.0443644,-0.449055,0.49342
0.925,-0.227677,0.301207,0.528885,-0.0424526,-0.436801,0.479254
0.93,-0.22426,0.294096,0.518356,-0.0403201,-0.428749,0.469069
