Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,0.0411976,-0.0495921,-0.0907898,0.00484657,0.0762029,-0.0810495
0.005,0.0431985,-0.0499025,-0.093101,0.00387056,0.0786925,-0.0825631
0.01,0.0455646,-0.0475775,-0.0931421,0.00116213,0.0800823,-0.0812444
0.015,0.0483875,-0.0426448,-0.0910323,-0.00331557,0.080494,-0.0771784
0.02,0.0514465,-0.0367467,-0.0881932,-0.00848696,0.080621,-0.072134
0.025,0.0543754,-0.0298616,-0.0842369,-0.014153,0.0800278,-0.0658748
0.03,0.0570512,-0.0220109,-0.0790621,-0.0202305,0.078585,-0.0583545
0.035,0.059644,-0.0151524,-0.0747964,-0.0256872,0.0776192,-0.051932
0.04,0.0622839,-0.0104955,-0.0727793,-0.0299,0.0779787,-0.0480787
0.045,0.0651096,-0.00767982,-0.0727894,-0.0331571,0.079616,-0.0464589
0.05,0.0685303,-0.00490692,-0.0734372,-0.0367329,0.0819649,-0.045232
0.055,0.0727289,0.00108182,-0.0716471,-0.0426146,0.0833555,-0.0407409
0.06,0.0775889,0.0105445,-0.0670444,-0.0508839,0.083504,-0.0326202
0.065,0.0829361,0.0203765,-0.0625596,-0.0596475,0.084002,-0.0243544
0.07,0.0887335,0.0282213,-0.0605122,-0.0675239,0.086167,-0.0186431
0.075,0.094865,0.0348633,-0.0600016,-0.0748986,0.0894122,-0.0145136
0.08,0.101246,0.0420817,-0.0591647,-0.0827505,0.0926133,-0.00986287
0.085,0.108045,0.0499585,-0.0580866,-0.0912234,0.0959162,-0.00469277
0.09,0.115173,0.0579952,-0.0571777,-0.0999786,0.0995066,0.000472027
0.095,0.122519,0.0660774,-0.0564421,-0.108886,0.103323,0.00556296
0.1,0.129891,0.0732732,-0.0566174,-0.117297,0.10768,0.00961626
0.105,0.136524,0.0783876,-0.0581368,-0.12408,0.112388,0.0116918
0.11,0.141711,0.0814577,-0.0602534,-0.128847,0.116604,0.0122423
0.115,0.14553,0.0838484,-0.0616815,-0.132431,0.119633,0.0127981
0.12,0.148257,0.0859262,-0.0623312,-0.135206,0.121583,0.0136226
0.125,0.149859,0.0874899,-0.0623691,-0.137033,0.12253,0.0145035
0.13,0.150004,0.0886771,-0.0613269,-0.137803,0.122012,0.0157906
0.135,0.1485,0.089857,-0.0586427,-0.137615,0.119594,0.0180216
0.14,0.145213,0.0911937,-0.0540197,-0.13649,0.115027,0.0214624
0.145,0.139997,0.0925537,-0.047443,-0.134263,0.108218,0.0260446
0.15,0.132509,0.0926642,-0.0398453,-0.130004,0.099509,0.030495
0.155,0.122919,0.0920099,-0.0309087,-0.124089,0.0888122,0.0352767
0.16,0.111663,0.0909191,-0.0207435,-0.116961,0.0764447,0.0405159
0.165,0.0990325,0.0877322,-0.0113004,-0.107829,0.0637007,0.0441279
0.17,0.0854689,0.081048,-0.00442091,-0.0961385,0.0518979,0.0442406
0.175,0.0717834,0.0712921,-0.000491314,-0.0826046,0.0417278,0.0408768
0.18,0.0590843,0.0597129,0.000628643,-0.0685876,0.0337494,0.0348382
0.185,0.0480783,0.0474591,-0.000619173,-0.0551585,0.0281155,0.027043
0.19,0.0388659,0.0359453,-0.00292054,-0.0431923,0.0241254,0.0190669
0.195,0.0313049,0.0257582,-0.00554675,-0.0329454,0.0212763,0.0116691
0.2,0.0250933,0.0172134,-0.00787998,-0.0244258,0.0190371,0.00538863
0.205,0.0202077,0.00951122,-0.0106965,-0.0171582,0.0178426,-0.000684333
0.21,0.0165623,0.00180601,-0.0147562,-0.0106049,0.0180817,-0.00747682
0.215,0.0140876,-0.00655394,-0.0206415,-0.00434956,0.0200509,-0.0157013
0.22,0.012436,-0.0134045,-0.0258405,0.000559134,0.022099,-0.0226581
0.225,0.0112191,-0.0151405,-0.0263595,0.00226401,0.021696,-0.02396
0.23,0.01023,-0.0118366,-0.0220666,0.000927548,0.0186465,-0.019574
0.235,0.0096247,-0.00744785,-0.0170726,-0.0012568,0.0154137,-0.0141569
0.24,0.00938101,-0.00527698,-0.014658,-0.00236946,0.0138789,-0.0115095
0.245,0.00917031,-0.00552761,-0.0146979,-0.00210312,0.0137803,-0.0116772
0.25,0.00889678,-0.00736811,-0.0162649,-0.000882575,0.0145271,-0.0136445
0.255,0.00859134,-0.00987085,-0.0184622,0.000738723,0.0156194,-0.0163581
0.26,0.00826899,-0.0108111,-0.0190801,0.00146769,0.01579,-0.0172577
0.265,0.00792277,-0.00924764,-0.0171704,0.000764915,0.0144875,-0.0152525
0.27,0.00784163,-0.00587273,-0.0137144,-0.00113675,0.0124454,-0.0113086
0.275,0.00820607,-0.00159848,-0.00980456,-0.00381489,0.0103984,-0.00658355
0.28,0.00891105,0.00240544,-0.00650561,-0.00653358,0.00890081,-0.00236724
0.285,0.00978868,0.00566109,-0.0041276,-0.00891993,0.00803457,0.000885359
0.29,0.0104003,0.00845771,-0.00194257,-0.0108877,0.00712615,0.00376151
0.295,0.0105182,0.0103468,-0.000171385,-0.0120464,0.00617163,0.00587479
0.3,0.0103224,0.0105374,0.000215009,-0.0120434,0.00583551,0.00620792
0.305,0.0102048,0.00962479,-0.000580022,-0.0114486,0.00622662,0.005222
0.31,0.0104626,0.00716862,-0.00329395,-0.0101794,0.00794232,0.00223704
0.315,0.0111065,0.00329588,-0.00781062,-0.00831522,0.0109218,-0.00260659
0.32,0.0121201,-0.000391159,-0.0125112,-0.00677169,0.0142209,-0.0074492
0.325,0.0132928,-0.00231521,-0.015608,-0.00633789,0.0166858,-0.0103479
0.33,0.014089,-0.00310324,-0.0171923,-0.00634265,0.0180603,-0.0117176
0.335,0.0140167,-0.00422239,-0.018239,-0.00565472,0.0186228,-0.0129681
0.34,0.0132108,-0.00621748,-0.0194283,-0.00403759,0.0188442,-0.0148066
0.345,0.0122729,-0.00929592,-0.0215688,-0.00171878,0.0195386,-0.0178198
0.35,0.0114062,-0.0122891,-0.0236953,0.000509738,0.0202658,-0.0207756
0.355,0.0103297,-0.0131794,-0.023509,0.00164528,0.0195368,-0.021182
0.36,0.00908294,-0.0121761,-0.021259,0.00178581,0.0175179,-0.0193037
0.365,0.00797221,-0.0107766,-0.0187489,0.00161914,0.0154274,-0.0170466
0.37,0.00711493,-0.0102227,-0.0173376,0.00179425,0.0141177,-0.0159119
0.375,0.0063485,-0.010906,-0.0172545,0.00263125,0.0136272,-0.0162584
0.38,0.00540041,-0.0127752,-0.0181756,0.00425781,0.0136116,-0.0178694
0.385,0.00434073,-0.0159516,-0.0202923,0.00670352,0.0142219,-0.0209254
0.39,0.00345221,-0.0196026,-0.0230548,0.00932444,0.0153038,-0.0246283
0.395,0.00295896,-0.0224604,-0.0254194,0.0112592,0.0163842,-0.0276434
0.4,0.0028098,-0.0250695,-0.0278793,0.0128516,0.0177183,-0.03057
0.405,0.0026461,-0.0276588,-0.0303049,0.0144411,0.0190243,-0.0334654
0.41,0.00242491,-0.0298787,-0.0323037,0.0158505,0.0200505,-0.035901
0.415,0.00248472,-0.0320723,-0.034557,0.0170824,0.021386,-0.0384684
0.42,0.00300425,-0.0348312,-0.0378355,0.0183753,0.0235788,-0.0419541
0.425,0.00383909,-0.0383611,-0.0422002,0.0199313,0.0265808,-0.046512
0.43,0.00478139,-0.0415277,-0.0463091,0.0212155,0.0294971,-0.0507126
0.435,0.00548499,-0.0433394,-0.0488244,0.0218552,0.0313555,-0.0532107
0.44,0.00591058,-0.0436611,-0.0495717,0.0217953,0.0320327,-0.053828
0.445,0.0065139,-0.0427712,-0.0492851,0.0209332,0.0322156,-0.0531487
0.45,0.00747258,-0.041215,-0.0486876,0.0194812,0.0324241,-0.0519053
0.455,0.00842889,-0.038904,-0.0473328,0.0175948,0.032194,-0.0497888
0.46,0.00863424,-0.0371012,-0.0457355,0.0164354,0.0313904,-0.0478258
0.465,0.0080186,-0.0369246,-0.0449432,0.0166889,0.0305775,-0.0472664
0.47,0.00724337,-0.037227,-0.0444703,0.017311,0.0298569,-0.0471679
0.475,0.00655263,-0.0375304,-0.044083,0.017885,0.0292345,-0.0471195
0.48,0.00559126,-0.0382794,-0.0438707,0.0188725,0.0285569,-0.0474294
0.485,0.00417415,-0.0390604,-0.0432345,0.0201415,0.0273714,-0.0475129
0.49,0.00265714,-0.0391301,-0.0417872,0.0210577,0.02566,-0.0467176
0.495,0.00160329,-0.037627,-0.0392303,0.0207983,0.0235753,-0.0443736
0.5,0.00116446,-0.034995,-0.0361595,0.0195321,0.021549,-0.0410811
0.505,0.00128756,-0.0327669,-0.0340544,0.0181746,0.0204047,-0.0385793
0.51,0.00180147,-0.0324481,-0.0342496,0.0176938,0.0208141,-0.0385079
0.515,0.00242182,-0.0340698,-0.0364916,0.018272,0.0224667,-0.0407386
0.52,0.00285284,-0.0369644,-0.0398172,0.0196943,0.0246356,-0.0443298
0.525,0.00311108,-0.0393288,-0.0424398,0.0209103,0.0262988,-0.0472091
0.53,0.00325489,-0.0400043,-0.0432592,0.0212173,0.0268549,-0.0480722
0.535,0.00314228,-0.0393411,-0.0424834,0.0208994,0.026342,-0.0472414
0.54,0.00279486,-0.0377503,-0.0405451,0.0201815,0.0250223,-0.0452038
0.545,0.00233758,-0.035602,-0.0379396,0.0192052,0.023254,-0.0424592
0.55,0.00173439,-0.0342447,-0.0359791,0.0187698,0.0217739,-0.0405437
0.555,0.000984903,-0.0344517,-0.0354366,0.019322,0.0210279,-0.04035
0.56,0.000436681,-0.0347636,-0.0352003,0.0198186,0.020575,-0.0403937
0.565,0.000403348,-0.0332855,-0.0336889,0.0189845,0.0196831,-0.0386677
0.57,0.00106177,-0.0282687,-0.0293305,0.0157079,0.017547,-0.0332549
0.575,0.00234542,-0.0191796,-0.021525,0.00971919,0.0137816,-0.0235008
0.58,0.003643,-0.0070575,-0.0107005,0.00197136,0.00828123,-0.0102526
0.585,0.00431906,0.00738087,0.00306181,-0.00675496,0.000725873,0.00602908
0.59,0.00426879,0.0228888,0.01862,-0.0156794,-0.00828569,0.0239651
0.595,0.00361455,0.03753,0.0339155,-0.0237548,-0.0174942,0.0412491
0.6,0.0029899,0.0508766,0.0478867,-0.0310998,-0.0259211,0.0570209
0.605,0.00353935,0.0649247,0.0613853,-0.0395277,-0.0333974,0.0729251
0.61,0.00576426,0.080128,0.0743637,-0.0495899,-0.0396059,0.0891958
0.615,0.00884311,0.0953029,0.0864597,-0.0601287,-0.044812,0.104941
0.62,0.0112592,0.108796,0.097537,-0.069314,-0.0498124,0.119126
0.625,0.0123527,0.119749,0.107396,-0.0762689,-0.0548734,0.131142
0.63,0.0132112,0.128374,0.115163,-0.0817441,-0.0588616,0.140606
0.635,0.0153262,0.134506,0.11918,-0.0865055,-0.0599598,0.146465
0.64,0.0191098,0.134083,0.114974,-0.0884461,-0.055347,0.143793
0.645,0.0234513,0.12321,0.0997592,-0.0846751,-0.0440564,0.128732
0.65,0.0263803,0.102401,0.0760205,-0.0743518,-0.0286598,0.103012
0.655,0.0267505,0.074612,0.0478616,-0.0585217,-0.0121885,0.0707101
0.66,0.0246855,0.0438473,0.0191617,-0.0395674,0.00318917,0.0363783
0.665,0.021111,0.0152089,-0.00590202,-0.0209693,0.0155959,0.00537335
0.67,0.0171817,-0.00703815,-0.0242198,-0.00585638,0.0239032,-0.0180468
0.675,0.0134678,-0.0226729,-0.0361407,0.00531456,0.0286415,-0.033956
0.68,0.00992807,-0.0335649,-0.0434929,0.0136467,0.0308426,-0.0444893
0.685,0.00650081,-0.041826,-0.0483268,0.020395,0.0316547,-0.0520497
0.69,0.00347302,-0.0478989,-0.0513719,0.0256493,0.0316647,-0.057314
0.695,0.00119828,-0.0518117,-0.05301,0.0292217,0.0312971,-0.0605188
0.7,3.05E-05,-0.0556019,-0.0556323,0.0320842,0.0321369,-0.0642211
0.705,0.00195304,-0.0599039,-0.061857,0.033458,0.0368407,-0.0702987
0.71,0.0106708,-0.0573837,-0.0680545,0.0269697,0.045452,-0.0724217
0.715,0.029636,-0.0363613,-0.0659973,0.00388283,0.0552139,-0.0590967
0.72,0.0576043,0.0165627,-0.0410417,-0.0428203,0.0569533,-0.0141329
0.725,0.0846274,0.116236,0.0316091,-0.115969,0.0306101,0.0853586
0.73,0.0969152,0.274083,0.177168,-0.214196,-0.0463338,0.26053
0.735,0.0860371,0.48677,0.400733,-0.33071,-0.18169,0.5124
0.74,0.0495123,0.718585,0.669072,-0.443461,-0.357703,0.801164
0.745,-0.0101884,0.897175,0.907363,-0.512101,-0.529748,1.04185
0.75,-0.0841022,0.953029,1.03713,-0.501675,-0.647344,1.14902
0.755,-0.157056,0.869185,1.02624,-0.411148,-0.683176,1.09432
0.76,-0.210839,0.692734,0.903573,-0.278222,-0.643406,0.921628
0.765,-0.232019,0.49657,0.728588,-0.152738,-0.554607,0.707345
0.77,-0.218671,0.330951,0.549621,-0.0648251,-0.443573,0.508398
0.775,-0.179943,0.210826,0.390769,-0.0178299,-0.3295,0.34733
0.78,-0.129478,0.130186,0.259664,-0.000409013,-0.224671,0.22508
0.785,-0.0796111,0.0772562,0.156867,0.00135958,-0.136531,0.135171
0.79,-0.0383286,0.0427044,0.0810331,-0.00252639,-0.0689135,0.0714398
0.795,-0.00868281,0.0190459,0.0277287,-0.00598311,-0.0210222,0.0270053
0.8,0.0104683,0.00219157,-0.00827671,-0.00730917,0.0108224,-0.00351326
0.805,0.0222157,-0.0102189,-0.0324346,-0.00692634,0.0315523,-0.024626
0.81,0.0294715,-0.0197394,-0.0492109,-0.00561883,0.0454273,-0.0398085
0.815,0.034169,-0.0270784,-0.0612475,-0.00409376,0.0550887,-0.0509949
